,Attrition,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age_Bin,Gender_Male,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Education_2,Education_3,Education_4,Education_5,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,MaritalStatus_Married,MaritalStatus_Single,Department_Research_Development,Department_Sales,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3
0,0,51,5,131160,1.0,11,1.0,6,1,0,0,1,3,3.0,4.0,3.0,3,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
1,0,32,14,193280,1.0,15,5.0,2,5,0,3,3,2,3.0,2.0,2.0,1,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
2,0,38,2,83210,3.0,11,13.0,5,8,7,5,3,4,2.0,2.0,4.0,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
3,0,32,8,23420,4.0,12,9.0,2,6,0,4,1,3,4.0,4.0,3.0,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False
4,0,46,6,40710,3.0,13,28.0,5,7,7,7,3,3,4.0,3.0,2.0,2,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
5,0,29,14,31430,2.0,22,10.0,2,0,0,0,4,3,3.0,3.0,3.0,0,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
6,0,31,1,20440,0.0,21,10.0,2,9,7,8,4,4,2.0,3.0,4.0,1,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
7,0,25,6,134640,1.0,13,6.0,2,6,1,5,3,3,1.0,2.0,4.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False
8,0,45,14,79910,0.0,13,21.0,2,20,4,10,3,3,2.0,4.0,4.0,2,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
9,0,36,22,33770,0.0,12,16.0,2,15,10,11,1,4,3.0,4.0,3.0,1,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
10,0,55,11,55380,0.0,17,37.0,2,36,4,13,3,2,4.0,4.0,3.0,3,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
12,0,37,1,53460,4.0,11,7.0,2,5,0,1,3,4,4.0,2.0,4.0,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
13,0,21,2,42130,1.0,12,3.0,3,3,1,0,1,3,2.0,3.0,4.0,0,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
14,0,37,1,41270,2.0,13,15.0,2,5,0,2,3,3,4.0,4.0,3.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
15,0,35,6,24380,7.0,16,10.0,5,7,6,2,3,4,4.0,4.0,2.0,1,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
