,Attrition,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age_Bin,Gender_Male,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Education_2,Education_3,Education_4,Education_5,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,MaritalStatus_Married,MaritalStatus_Single,Department_Research_Development,Department_Sales,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3
0,0,22,6,108510,1.0,16,1.0,2,1,0,0,3,3,1.0,3.0,3.0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
1,0,33,2,87930,6.0,17,8.0,2,5,1,2,3,2,3.0,3.0,3.0,1,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
2,0,42,2,45390,4.0,17,8.0,5,0,0,0,3,4,3.0,4.0,4.0,2,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False
3,1,26,1,24260,1.0,13,1.0,3,1,0,0,4,3,2.0,3.0,1.0,0,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False
4,0,40,2,27180,1.0,14,9.0,4,9,4,7,3,3,4.0,4.0,4.0,1,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
5,1,28,11,56730,5.0,9,5.0,4,3,2,2,2,3,3.0,1.0,3.0,0,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False
6,0,39,2,20080,2.0,12,11.0,3,7,7,6,3,3,4.0,2.0,3.0,1,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
7,0,43,1,52650,4.0,11,12.0,4,5,2,2,3,4,3.0,3.0,4.0,2,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False
8,0,40,8,93620,2.0,25,8.0,6,2,2,2,3,2,2.0,4.0,4.0,1,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
9,0,35,3,78980,7.0,15,5.0,2,2,2,2,3,3,4.0,3.0,4.0,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
10,0,26,1,175840,1.0,20,8.0,2,8,1,3,4,4,4.0,3.0,4.0,0,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
11,0,34,19,164130,6.0,16,6.0,1,4,1,2,3,3,4.0,2.0,3.0,1,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
12,0,41,9,168720,2.0,15,21.0,2,18,0,11,3,4,2.0,3.0,4.0,2,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
13,0,35,2,32940,0.0,11,6.0,2,5,0,3,3,3,3.0,3.0,4.0,1,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
14,0,31,11,23020,4.0,14,13.0,3,11,4,8,3,3,2.0,3.0,4.0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
15,1,19,5,76440,1.0,10,1.0,2,1,0,0,3,1,2.0,2.0,3.0,0,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False
16,0,30,17,104350,0.0,11,12.0,5,11,4,7,3,4,3.0,4.0,4.0,0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False
17,1,44,7,45580,1.0,10,6.0,2,6,0,2,1,1,3.0,3.0,3.0,2,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
18,0,59,4,56740,3.0,12,14.0,6,6,0,4,3,3,2.0,4.0,2.0,3,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
19,1,53,22,34230,6.0,9,15.0,4,2,2,2,3,2,3.0,2.0,1.0,3,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False
20,1,51,28,192720,9.0,14,18.0,2,10,2,7,2,2,2.0,2.0,2.0,3,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
21,0,47,1,135700,5.0,16,20.0,2,5,0,4,3,2,3.0,2.0,2.0,2,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
22,1,35,2,108830,3.0,11,8.0,3,1,0,1,3,2,2.0,2.0,2.0,1,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
23,0,44,2,25640,1.0,12,20.0,3,20,13,17,3,4,4.0,2.0,3.0,2,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True
24,0,32,8,30720,5.0,12,9.0,4,5,1,3,3,4,4.0,3.0,3.0,1,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
25,0,32,1,30220,1.0,16,6.0,3,6,0,5,3,1,4.0,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
26,0,29,4,75530,1.0,19,5.0,3,5,0,4,3,3,2.0,4.0,3.0,0,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False
27,0,51,2,39070,5.0,13,16.0,2,10,4,7,3,4,4.0,3.0,3.0,3,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
28,0,53,9,21480,3.0,11,21.0,2,5,1,3,3,3,4.0,4.0,4.0,3,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
29,0,29,6,40370,0.0,14,4.0,2,3,0,2,3,4,2.0,4.0,3.0,0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
30,0,23,2,76370,2.0,11,5.0,3,3,0,2,3,3,4.0,3.0,4.0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
31,0,42,5,100080,6.0,17,9.0,3,4,1,2,3,3,3.0,4.0,4.0,2,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
32,0,59,13,186650,3.0,12,30.0,3,5,4,3,3,3,1.0,4.0,2.0,3,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False
33,0,37,23,78800,3.0,12,9.0,2,4,0,2,3,4,4.0,4.0,4.0,1,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False
34,0,44,2,40110,4.0,14,26.0,2,2,0,1,3,3,2.0,4.0,3.0,2,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
35,0,27,13,49980,0.0,20,8.0,3,7,7,3,4,2,4.0,4.0,3.0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
36,0,30,7,40890,0.0,18,10.0,2,9,6,7,3,4,4.0,3.0,4.0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False
37,1,30,1,179240,1.0,10,10.0,2,10,6,7,2,3,3.0,1.0,3.0,0,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
38,0,25,14,36220,1.0,25,2.0,0,2,2,1,4,3,4.0,2.0,3.0,0,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
39,0,43,6,22580,4.0,18,7.0,2,3,1,2,3,2,2.0,2.0,4.0,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
40,0,38,6,76250,1.0,15,4.0,2,4,0,3,3,2,4.0,3.0,3.0,1,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
41,1,58,1,10090,7.0,10,31.0,3,10,5,9,2,2,3.0,3.0,3.0,3,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False
42,0,35,5,119960,1.0,19,16.0,3,16,10,1,3,3,4.0,4.0,4.0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
43,1,19,12,41870,0.0,19,1.0,4,0,0,0,3,3,2.0,3.0,3.0,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
44,0,38,3,44440,1.0,13,20.0,2,20,0,7,3,3,4.0,4.0,3.0,1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
45,0,49,6,53240,2.0,19,20.0,2,3,1,2,3,4,4.0,3.0,2.0,2,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
46,0,25,23,30690,2.0,14,6.0,3,2,2,2,3,2,2.0,4.0,4.0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False
47,0,40,8,65670,1.0,13,8.0,3,8,3,7,3,3,4.0,3.0,3.0,1,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False
48,0,33,13,20900,4.0,16,10.0,2,6,0,5,3,4,2.0,3.0,3.0,1,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
