,Attrition,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked_Missing,TotalWorkngYears_Missing,EnvironmentSatisfaction_Missing,JobSatisfaction_Missing,WorkLifeBalance_Missing,Age_Bin,Gender_Male,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Education_2,Education_3,Education_4,Education_5,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,MaritalStatus_Married,MaritalStatus_Single,Department_Research_Development,Department_Sales,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3,Age_sd,DistanceFromHome_sd,MonthlyIncome_sd,NumCompaniesWorked_sd,PercentSalaryHike_sd,TotalWorkingYears_sd,TrainingTimesLastYear_sd,YearsAtCompany_sd,YearsSinceLastPromotion_sd,YearsWithCurrManager_sd,PerformanceRating_sd,JobInvolvement_sd,EnvironmentSatisfaction_sd,JobSatisfaction_sd,WorkLifeBalance_sd
522,0,35,1,136100,4.0,22,16.0,4,13,4,12,4,3,3.0,1.0,4.0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,-0.2106607044718917,-0.9766986801038673,1.5101003767424503,0.5234888158566704,1.82915135409582,0.607207581703424,0.9316033855643254,0.9783483566461847,0.5625759024789769,2.2083101814404658,1.6245446154992582,-0.03134733829702275,0.049909597077369375,-2.206227591658592,1.0778887624561249
1618,0,27,16,34850,9.0,17,4.0,2,2,2,2,3,3,4.0,4.0,3.0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,-1.0866755151470848,1.1283651048847558,-0.641245972057977,2.5289323601130302,0.6298415902595776,-0.9365196991381118,-0.6201892226844657,-0.8177339465973219,-0.058284890797371494,-0.5952272282818631,0.04825380046037423,-0.03134733829702275,0.9932440073543686,0.960985988256784,-0.017727612261845094
1313,0,29,18,57360,1.0,22,4.0,1,4,0,2,4,2,4.0,3.0,4.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.8676718124782865,1.4090402762165721,-0.1629565270061486,-0.6797773106971454,1.82915135409582,-0.9365196991381118,-1.3960855268088614,-0.4911735278257753,-0.6791456840737199,-0.5952272282818631,1.6245446154992582,-1.1930428163631641,0.9932440073543686,-0.0947518717150079,1.0778887624561249
1088,0,23,8,64390,3.0,22,3.0,2,0,0,0,4,3,3.0,4.0,4.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,-1.5246829204846812,0.005664419557490206,-0.013584034837585614,0.12240010700539844,1.82915135409582,-1.0651636392082398,-0.6201892226844657,-1.1442943653688686,-0.6791456840737199,-1.1559347102263289,1.6245446154992582,-0.03134733829702275,0.049909597077369375,0.960985988256784,1.0778887624561249
825,0,24,2,45080,0.0,11,3.0,5,2,2,1,3,4,4.0,1.0,4.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,-1.4151810691502822,-0.836361094437959,-0.42388031133473375,-1.0808660195484174,-0.8093301263439133,-1.0651636392082398,1.707499689688721,-0.8177339465973219,-0.058284890797371494,-0.875580969254096,0.04825380046037423,1.1303481397691186,0.9932440073543686,-2.206227591658592,1.0778887624561249
1507,0,35,4,16750,1.0,16,3.0,6,3,0,2,3,3,4.0,3.0,3.0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,-0.2106607044718917,-0.5556859231061426,-1.0258323316953866,-0.6797773106971454,0.3899796374923291,-1.0651636392082398,2.4833959938131165,-0.6544537372115486,-0.6791456840737199,-0.5952272282818631,0.04825380046037423,-0.03134733829702275,0.9932440073543686,-0.0947518717150079,-0.017727612261845094
1796,0,32,8,42330,1.0,11,10.0,5,10,0,8,3,4,2.0,4.0,4.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,-0.5391662584750891,0.005664419557490206,-0.482311940561412,-0.6797773106971454,-0.8093301263439133,-0.16465605871734387,1.707499689688721,0.48850772848886465,-0.6791456840737199,1.086895217551534,0.04825380046037423,1.1303481397691186,-0.8934248131996299,0.960985988256784,1.0778887624561249
3714,1,21,12,53730,1.0,5,1.0,2,1,0,0,2,1,1.0,1.0,2.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1.7436866231534796,0.567014762221123,-0.2400862775853639,-0.6797773106971454,-2.2485018429474044,-1.3224515193484958,-0.6201892226844657,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,-1.5280370145785098,-2.3547382944293056,-1.836759223476629,-2.206227591658592,-1.113343986979815
3474,0,39,20,197010,0.0,12,21.0,3,20,9,6,3,3,2.0,4.0,3.0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0.22734670086570485,1.6897154475483886,2.804307844450441,-1.0808660195484174,-0.5694681735766648,1.250427282054064,0.1557070814399298,2.1213098223465976,2.114727885669848,0.5261877356070683,0.04825380046037423,-0.03134733829702275,-0.8934248131996299,0.960985988256784,-0.017727612261845094
3149,0,34,2,28180,1.0,13,10.0,2,10,8,6,3,3,2.0,3.0,4.0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.3201625558062908,-0.836361094437959,-0.7829692327641383,-0.6797773106971454,-0.3296062208094163,-0.16465605871734387,-0.6201892226844657,0.48850772848886465,1.8042974890316739,0.5261877356070683,0.04825380046037423,-0.03134733829702275,-0.8934248131996299,-0.0947518717150079,1.0778887624561249
